#    L    TT             EE             TE             PP             TP          
   266   0.512496E+04   0.392880E+01   0.879896E+02   0.197030E+07   0.144389E+04
   267   0.509945E+04   0.404696E+01   0.893689E+02   0.196222E+07   0.143182E+04
   268   0.507353E+04   0.416733E+01   0.907273E+02   0.195418E+07   0.141984E+04
   269   0.504719E+04   0.428993E+01   0.920628E+02   0.194620E+07   0.140795E+04
   270   0.502046E+04   0.441471E+01   0.933759E+02   0.193827E+07   0.139613E+04
   271   0.499335E+04   0.454168E+01   0.946646E+02   0.193039E+07   0.138441E+04
   272   0.496585E+04   0.467081E+01   0.959295E+02   0.192257E+07   0.137276E+04
   273   0.493800E+04   0.480208E+01   0.971692E+02   0.191479E+07   0.136120E+04
   274   0.490978E+04   0.493548E+01   0.983843E+02   0.190707E+07   0.134972E+04
   275   0.488121E+04   0.507098E+01   0.995728E+02   0.189939E+07   0.133832E+04
   276   0.485231E+04   0.520857E+01   0.100735E+03   0.189177E+07   0.132699E+04
   277   0.482309E+04   0.534823E+01   0.101870E+03   0.188419E+07   0.131575E+04
   278   0.479355E+04   0.548992E+01   0.102977E+03   0.187666E+07   0.130458E+04
   279   0.476370E+04   0.563363E+01   0.104056E+03   0.186919E+07   0.129349E+04
   280   0.473356E+04   0.577931E+01   0.105107E+03   0.186175E+07   0.128248E+04
   281   0.470314E+04   0.592695E+01   0.106128E+03   0.185437E+07   0.127154E+04
   282   0.467244E+04   0.607650E+01   0.107120E+03   0.184703E+07   0.126068E+04
   283   0.464147E+04   0.622796E+01   0.108081E+03   0.183974E+07   0.124989E+04
   284   0.461025E+04   0.638127E+01   0.109011E+03   0.183249E+07   0.123917E+04
   285   0.457879E+04   0.653642E+01   0.109910E+03   0.182529E+07   0.122853E+04
   286   0.454708E+04   0.669336E+01   0.110778E+03   0.181814E+07   0.121796E+04
   287   0.451516E+04   0.685204E+01   0.111613E+03   0.181102E+07   0.120746E+04
   288   0.448303E+04   0.701246E+01   0.112416E+03   0.180396E+07   0.119702E+04
   289   0.445068E+04   0.717455E+01   0.113186E+03   0.179693E+07   0.118666E+04
   290   0.441815E+04   0.733828E+01   0.113923E+03   0.178995E+07   0.117636E+04
   291   0.438545E+04   0.750363E+01   0.114626E+03   0.178301E+07   0.116614E+04
   292   0.435256E+04   0.767046E+01   0.115294E+03   0.177611E+07   0.115598E+04
   293   0.431951E+04   0.783886E+01   0.115929E+03   0.176926E+07   0.114588E+04
   294   0.428632E+04   0.800874E+01   0.116528E+03   0.176245E+07   0.113585E+04
   295   0.425297E+04   0.817997E+01   0.117092E+03   0.175567E+07   0.112588E+04
   296   0.421950E+04   0.835260E+01   0.117621E+03   0.174894E+07   0.111598E+04
   297   0.418588E+04   0.852649E+01   0.118112E+03   0.174224E+07   0.110614E+04
   298   0.415216E+04   0.870165E+01   0.118567E+03   0.173559E+07   0.109636E+04
   299   0.411834E+04   0.887800E+01   0.118986E+03   0.172897E+07   0.108665E+04
   300   0.408441E+04   0.905546E+01   0.119367E+03   0.172240E+07   0.107699E+04
   301   0.405041E+04   0.923411E+01   0.119711E+03   0.171586E+07   0.106739E+04
   302   0.401634E+04   0.941372E+01   0.120019E+03   0.170936E+07   0.105785E+04
   303   0.398221E+04   0.959438E+01   0.120289E+03   0.170289E+07   0.104838E+04
   304   0.394804E+04   0.977600E+01   0.120522E+03   0.169646E+07   0.103896E+04
   305   0.391384E+04   0.995852E+01   0.120717E+03   0.169007E+07   0.102960E+04
   306   0.387961E+04   0.101419E+02   0.120874E+03   0.168372E+07   0.102030E+04
   307   0.384537E+04   0.103261E+02   0.120994E+03   0.167740E+07   0.101107E+04
   308   0.381113E+04   0.105110E+02   0.121076E+03   0.167112E+07   0.100189E+04
   309   0.377690E+04   0.106965E+02   0.121119E+03   0.166487E+07   0.992776E+03
   310   0.374267E+04   0.108826E+02   0.121125E+03   0.165866E+07   0.983723E+03
   311   0.370849E+04   0.110693E+02   0.121092E+03   0.165249E+07   0.974730E+03
   312   0.367433E+04   0.112564E+02   0.121020E+03   0.164635E+07   0.965799E+03
   313   0.364023E+04   0.114440E+02   0.120910E+03   0.164024E+07   0.956930E+03
   314   0.360619E+04   0.116318E+02   0.120762E+03   0.163417E+07   0.948122E+03
   315   0.357220E+04   0.118199E+02   0.120574E+03   0.162813E+07   0.939377E+03
   316   0.353830E+04   0.120083E+02   0.120348E+03   0.162213E+07   0.930694E+03
   317   0.350449E+04   0.121968E+02   0.120085E+03   0.161616E+07   0.922073E+03
   318   0.347078E+04   0.123853E+02   0.119782E+03   0.161022E+07   0.913515E+03
   319   0.343718E+04   0.125738E+02   0.119441E+03   0.160432E+07   0.905020E+03
   320   0.340368E+04   0.127624E+02   0.119062E+03   0.159845E+07   0.896587E+03
   321   0.337033E+04   0.129508E+02   0.118646E+03   0.159261E+07   0.888218E+03
