#    L    TT             EE             BB             TE          
   245   0.554069E+04   0.201044E+01   0.216207E-01   0.550983E+02
   246   0.552553E+04   0.208159E+01   0.217959E-01   0.567602E+02
   247   0.550980E+04   0.215494E+01   0.219710E-01   0.584152E+02
   248   0.549353E+04   0.223048E+01   0.221462E-01   0.600625E+02
   249   0.547671E+04   0.230822E+01   0.223213E-01   0.617015E+02
   250   0.545937E+04   0.238818E+01   0.224963E-01   0.633314E+02
   251   0.544148E+04   0.247036E+01   0.226712E-01   0.649513E+02
   252   0.542307E+04   0.255477E+01   0.228460E-01   0.665606E+02
   253   0.540412E+04   0.264141E+01   0.230207E-01   0.681585E+02
   254   0.538466E+04   0.273030E+01   0.231952E-01   0.697440E+02
   255   0.536466E+04   0.282143E+01   0.233696E-01   0.713165E+02
   256   0.534415E+04   0.291481E+01   0.235437E-01   0.728752E+02
   257   0.532313E+04   0.301044E+01   0.237176E-01   0.744195E+02
   258   0.530162E+04   0.310832E+01   0.238913E-01   0.759483E+02
   259   0.527962E+04   0.320846E+01   0.240648E-01   0.774622E+02
   260   0.525716E+04   0.331085E+01   0.242379E-01   0.789589E+02
   261   0.523423E+04   0.341549E+01   0.244108E-01   0.804391E+02
   262   0.521086E+04   0.352238E+01   0.245833E-01   0.819014E+02
   263   0.518706E+04   0.363152E+01   0.247555E-01   0.833458E+02
   264   0.516284E+04   0.374290E+01   0.249274E-01   0.847708E+02
   265   0.513818E+04   0.385651E+01   0.250989E-01   0.861771E+02
   266   0.511311E+04   0.397233E+01   0.252700E-01   0.875626E+02
   267   0.508763E+04   0.409036E+01   0.254408E-01   0.889264E+02
   268   0.506175E+04   0.421059E+01   0.256111E-01   0.902694E+02
   269   0.503547E+04   0.433300E+01   0.257810E-01   0.915894E+02
   270   0.500879E+04   0.445757E+01   0.259504E-01   0.928870E+02
   271   0.498174E+04   0.458430E+01   0.261194E-01   0.941600E+02
   272   0.495430E+04   0.471317E+01   0.262879E-01   0.954093E+02
   273   0.492651E+04   0.484415E+01   0.264560E-01   0.966333E+02
   274   0.489837E+04   0.497723E+01   0.266235E-01   0.978328E+02
   275   0.486988E+04   0.511238E+01   0.267906E-01   0.990055E+02
   276   0.484107E+04   0.524959E+01   0.269571E-01   0.100152E+03
   277   0.481193E+04   0.538883E+01   0.271231E-01   0.101272E+03
   278   0.478249E+04   0.553009E+01   0.272886E-01   0.102363E+03
   279   0.475274E+04   0.567332E+01   0.274535E-01   0.103426E+03
   280   0.472271E+04   0.581849E+01   0.276178E-01   0.104461E+03
   281   0.469239E+04   0.596560E+01   0.277816E-01   0.105467E+03
   282   0.466180E+04   0.611458E+01   0.279448E-01   0.106443E+03
   283   0.463096E+04   0.626544E+01   0.281074E-01   0.107389E+03
   284   0.459987E+04   0.641812E+01   0.282694E-01   0.108304E+03
   285   0.456853E+04   0.657260E+01   0.284308E-01   0.109188E+03
   286   0.453696E+04   0.672884E+01   0.285916E-01   0.110040E+03
   287   0.450518E+04   0.688679E+01   0.287518E-01   0.110861E+03
   288   0.447319E+04   0.704644E+01   0.289113E-01   0.111648E+03
   289   0.444100E+04   0.720772E+01   0.290702E-01   0.112404E+03
   290   0.440863E+04   0.737062E+01   0.292285E-01   0.113126E+03
   291   0.437608E+04   0.753510E+01   0.293861E-01   0.113814E+03
   292   0.434336E+04   0.770103E+01   0.295431E-01   0.114468E+03
   293   0.431048E+04   0.786849E+01   0.296994E-01   0.115089E+03
   294   0.427746E+04   0.803740E+01   0.298551E-01   0.115674E+03
   295   0.424429E+04   0.820761E+01   0.300100E-01   0.116224E+03
   296   0.421100E+04   0.837920E+01   0.301644E-01   0.116739E+03
   297   0.417757E+04   0.855202E+01   0.303180E-01   0.117217E+03
   298   0.414404E+04   0.872606E+01   0.304710E-01   0.117658E+03
   299   0.411041E+04   0.890126E+01   0.306232E-01   0.118064E+03
   300   0.407669E+04   0.907754E+01   0.307748E-01   0.118433E+03
   301   0.404289E+04   0.925497E+01   0.309257E-01   0.118765E+03
   302   0.400903E+04   0.943333E+01   0.310759E-01   0.119059E+03
   303   0.397511E+04   0.961270E+01   0.312255E-01   0.119318E+03
   304   0.394115E+04   0.979299E+01   0.313743E-01   0.119539E+03
   305   0.390717E+04   0.997415E+01   0.315224E-01   0.119723E+03
   306   0.387316E+04   0.101562E+02   0.316698E-01   0.119869E+03
   307   0.383915E+04   0.103389E+02   0.318166E-01   0.119977E+03
   308   0.380514E+04   0.105223E+02   0.319626E-01   0.120048E+03
   309   0.377115E+04   0.107064E+02   0.321079E-01   0.120082E+03
   310   0.373716E+04   0.108909E+02   0.322525E-01   0.120078E+03
   311   0.370322E+04   0.110760E+02   0.323965E-01   0.120034E+03
   312   0.366931E+04   0.112616E+02   0.325397E-01   0.119954E+03
   313   0.363546E+04   0.114475E+02   0.326822E-01   0.119835E+03
   314   0.360166E+04   0.116337E+02   0.328241E-01   0.119678E+03
   315   0.356794E+04   0.118201E+02   0.329652E-01   0.119482E+03
   316   0.353429E+04   0.120068E+02   0.331057E-01   0.119249E+03
   317   0.350074E+04   0.121935E+02   0.332455E-01   0.118978E+03
   318   0.346729E+04   0.123802E+02   0.333846E-01   0.118668E+03
   319   0.343396E+04   0.125670E+02   0.335230E-01   0.118321E+03
   320   0.340073E+04   0.127537E+02   0.336608E-01   0.117936E+03
   321   0.336765E+04   0.129402E+02   0.337979E-01   0.117513E+03
   322   0.333470E+04   0.131264E+02   0.339343E-01   0.117052E+03
   323   0.330191E+04   0.133124E+02   0.340701E-01   0.116554E+03
   324   0.326927E+04   0.134979E+02   0.342052E-01   0.116019E+03
   325   0.323680E+04   0.136831E+02   0.343397E-01   0.115447E+03
   326   0.320451E+04   0.138677E+02   0.344736E-01   0.114838E+03
   327   0.317240E+04   0.140518E+02   0.346069E-01   0.114192E+03
   328   0.314049E+04   0.142352E+02   0.347395E-01   0.113509E+03
   329   0.310878E+04   0.144178E+02   0.348716E-01   0.112790E+03
   330   0.307728E+04   0.145997E+02   0.350031E-01   0.112035E+03
   331   0.304601E+04   0.147807E+02   0.351340E-01   0.111245E+03
   332   0.301496E+04   0.149608E+02   0.352644E-01   0.110418E+03
   333   0.298415E+04   0.151398E+02   0.353942E-01   0.109557E+03
   334   0.295358E+04   0.153178E+02   0.355235E-01   0.108660E+03
   335   0.292327E+04   0.154945E+02   0.356522E-01   0.107729E+03
   336   0.289323E+04   0.156701E+02   0.357805E-01   0.106764E+03
   337   0.286345E+04   0.158444E+02   0.359082E-01   0.105766E+03
   338   0.283395E+04   0.160173E+02   0.360355E-01   0.104734E+03
   339   0.280474E+04   0.161888E+02   0.361624E-01   0.103670E+03
   340   0.277582E+04   0.163589E+02   0.362888E-01   0.102574E+03
   341   0.274720E+04   0.165273E+02   0.364148E-01   0.101446E+03
   342   0.271889E+04   0.166941E+02   0.365404E-01   0.100285E+03
   343   0.269088E+04   0.168592E+02   0.366656E-01   0.990942E+02
   344   0.266319E+04   0.170224E+02   0.367904E-01   0.978715E+02
   345   0.263582E+04   0.171838E+02   0.369149E-01   0.966182E+02
   346   0.260877E+04   0.173431E+02   0.370391E-01   0.953342E+02
   347   0.258205E+04   0.175004E+02   0.371630E-01   0.940203E+02
   348   0.255566E+04   0.176555E+02   0.372865E-01   0.926764E+02
   349   0.252962E+04   0.178086E+02   0.374098E-01   0.913048E+02
   350   0.250393E+04   0.179594E+02   0.375329E-01   0.899048E+02
   351   0.247860E+04   0.181079E+02   0.376558E-01   0.884778E+02
   352   0.245363E+04   0.182542E+02   0.377784E-01   0.870245E+02
   353   0.242904E+04   0.183981E+02   0.379009E-01   0.855451E+02
   354   0.240483E+04   0.185396E+02   0.380232E-01   0.840416E+02
   355   0.238100E+04   0.186786E+02   0.381454E-01   0.825134E+02
   356   0.235756E+04   0.188151E+02   0.382674E-01   0.809612E+02
   357   0.233451E+04   0.189490E+02   0.383894E-01   0.793858E+02
   358   0.231185E+04   0.190802E+02   0.385113E-01   0.777878E+02
   359   0.228960E+04   0.192087E+02   0.386331E-01   0.761674E+02
   360   0.226774E+04   0.193343E+02   0.387550E-01   0.745259E+02
   361   0.224629E+04   0.194570E+02   0.388768E-01   0.728624E+02
   362   0.222525E+04   0.195768E+02   0.389986E-01   0.711786E+02
   363   0.220462E+04   0.196936E+02   0.391205E-01   0.694753E+02
   364   0.218440E+04   0.198073E+02   0.392424E-01   0.677530E+02
   365   0.216460E+04   0.199180E+02   0.393644E-01   0.660126E+02
   366   0.214523E+04   0.200254E+02   0.394865E-01   0.642548E+02
   367   0.212628E+04   0.201297E+02   0.396087E-01   0.624805E+02
   368   0.210776E+04   0.202307E+02   0.397311E-01   0.606903E+02
   369   0.208966E+04   0.203285E+02   0.398537E-01   0.588852E+02
   370   0.207201E+04   0.204229E+02   0.399764E-01   0.570656E+02
   371   0.205478E+04   0.205140E+02   0.400993E-01   0.552327E+02
   372   0.203799E+04   0.206016E+02   0.402225E-01   0.533869E+02
   373   0.202164E+04   0.206858E+02   0.403459E-01   0.515291E+02
   374   0.200572E+04   0.207666E+02   0.404696E-01   0.496601E+02
   375   0.199024E+04   0.208438E+02   0.405935E-01   0.477806E+02
   376   0.197521E+04   0.209174E+02   0.407178E-01   0.458913E+02
   377   0.196062E+04   0.209875E+02   0.408424E-01   0.439930E+02
   378   0.194646E+04   0.210538E+02   0.409673E-01   0.420864E+02
   379   0.193275E+04   0.211164E+02   0.410926E-01   0.401723E+02
   380   0.191949E+04   0.211753E+02   0.412183E-01   0.382514E+02
   381   0.190666E+04   0.212304E+02   0.413444E-01   0.363245E+02
   382   0.189429E+04   0.212816E+02   0.414709E-01   0.343922E+02
   383   0.188236E+04   0.213290E+02   0.415978E-01   0.324555E+02
   384   0.187088E+04   0.213726E+02   0.417252E-01   0.305151E+02
   385   0.185983E+04   0.214122E+02   0.418531E-01   0.285719E+02
   386   0.184923E+04   0.214481E+02   0.419814E-01   0.266269E+02
   387   0.183908E+04   0.214800E+02   0.421103E-01   0.246806E+02
   388   0.182936E+04   0.215082E+02   0.422397E-01   0.227340E+02
   389   0.182008E+04   0.215325E+02   0.423696E-01   0.207880E+02
   390   0.181124E+04   0.215529E+02   0.425001E-01   0.188433E+02
